Customer_ID,Age,Gender,Subscription_Length,Region,Payment_Method,Support_Tickets_Raised,Satisfaction_Score,Discount_Offered,Last_Activity,Monthly_Spend,Churned
CUST000001,56.0,Male,54,South,PayPal,0,9.0,6.42,319,62.11,True
CUST000002,69.0,Female,21,East,Debit Card,1,2.0,13.77,166,37.27,True
CUST000003,46.0,Female,49,East,PayPal,3,8.0,19.91,207,61.82,False
CUST000004,32.0,Male,47,West,Debit Card,3,1.0,13.39,108,40.96,True
CUST000005,60.0,Male,6,East,Credit Card,2,6.0,13.18,65,45.97,False
CUST000006,25.0,Female,48,East,PayPal,2,6.0,5.6,267,43.48,True
CUST000007,38.0,Female,49,East,Debit Card,2,5.0,7.09,353,48.9,True
CUST000008,56.0,Female,3,East,Credit Card,0,1.0,12.7,185,29.09,True
CUST000009,36.0,Female,10,South,PayPal,3,1.0,19.78,224,31.56,True
CUST000010,43.0,Female,5,East,PayPal,2,6.0,18.15,153,43.79,False
CUST000011,28.0,Female,46,South,Debit Card,2,3.0,10.1,289,43.24,True
CUST000012,28.0,Female,26,South,Credit Card,1,8.0,13.15,285,54.06,False
CUST000013,41.0,Male,21,North,Debit Card,3,4.0,13.29,186,39.5,False
CUST000014,53.0,Female,45,South,PayPal,5,6.0,15.28,226,50.52,True
CUST000015,57.0,Female,26,South,PayPal,0,10.0,15.32,200,61.9,False
CUST000016,41.0,Male,38,East,PayPal,0,6.0,16.85,11,62.68,False
CUST000017,20.0,Female,44,South,PayPal,1,8.0,5.37,325,54.76,True
CUST000018,39.0,Female,26,West,Credit Card,2,4.0,19.16,277,44.9,False
CUST000019,19.0,Male,8,East,Credit Card,2,10.0,6.05,3,47.89,False
CUST000020,41.0,Female,5,East,Debit Card,1,6.0,12.14,350,46.68,True
CUST000021,61.0,Male,15,East,Debit Card,5,7.0,18.79,278,46.76,True
CUST000022,43.0,Male,59,North,Debit Card,0,5.0,12.32,62,55.75,False
CUST000023,55.0,Male,16,East,PayPal,1,7.0,5.95,5,43.39,False
CUST000024,19.0,Male,1,South,Debit Card,2,7.0,8.44,9,40.91,False
CUST000025,38.0,Female,16,West,Credit Card,2,10.0,13.68,58,53.67,False
CUST000026,50.0,Male,37,East,Debit Card,3,2.0,6.32,280,35.88,True
CUST000027,29.0,Male,3,East,Debit Card,0,7.0,11.36,238,43.49,False
CUST000028,43.0,Female,52,West,Credit Card,2,3.0,9.94,317,43.99,True
CUST000029,61.0,Male,47,East,Credit Card,0,8.0,17.23,127,62.91,False
CUST000030,42.0,Male,31,North,PayPal,1,8.0,6.65,304,52.54,True
CUST000031,66.0,Male,13,South,Credit Card,4,9.0,15.24,237,49.16,False
CUST000032,44.0,Male,56,West,Credit Card,6,4.0,11.1,219,43.67,True
CUST000033,43.0,Female,16,West,Debit Card,0,10.0,13.82,178,56.82,False
CUST000034,45.0,Male,55,North,Credit Card,3,3.0,8.08,318,43.68,True
CUST000035,33.0,Female,43,South,PayPal,0,9.0,14.15,149,59.86,False
CUST000036,32.0,Female,21,North,Debit Card,0,9.0,15.11,38,56.27,False
CUST000037,43.0,Male,2,South,PayPal,1,2.0,6.05,118,27.94,True
CUST000038,68.0,Male,54,North,Credit Card,4,6.0,17.37,315,56.26,True
CUST000039,61.0,Male,27,East,PayPal,3,3.0,17.92,97,42.72,True
CUST000040,69.0,Male,38,North,PayPal,0,5.0,5.95,17,47.53,False
CUST000041,43.0,Female,26,West,Credit Card,0,6.0,14.05,325,40.76,True
CUST000042,54.0,Female,58,West,Credit Card,0,4.0,13.91,279,53.07,False
CUST000043,68.0,Female,59,West,Debit Card,2,3.0,5.19,359,47.02,True
CUST000044,24.0,Male,38,North,Debit Card,4,2.0,10.14,154,37.94,True
CUST000045,38.0,Female,46,West,Debit Card,2,6.0,19.53,94,55.8,False
CUST000046,26.0,Male,25,West,Credit Card,3,3.0,13.33,175,38.75,True
CUST000047,56.0,Male,11,East,PayPal,0,4.0,19.0,302,43.38,True
CUST000048,35.0,Male,8,East,PayPal,3,6.0,15.13,29,42.84,False
CUST000049,21.0,Male,8,South,Debit Card,5,5.0,5.43,34,31.46,True
CUST000050,42.0,Male,33,South,Debit Card,2,6.0,6.17,10,39.84,False
CUST000051,31.0,Female,53,South,Credit Card,4,4.0,15.83,276,48.53,False
CUST000052,67.0,Female,7,North,PayPal,2,2.0,13.32,290,32.26,True
CUST000053,26.0,Male,38,South,Debit Card,3,10.0,6.91,101,54.34,False
CUST000054,43.0,Female,21,North,Credit Card,1,6.0,14.21,141,39.21,False
CUST000055,19.0,Male,8,North,Debit Card,1,8.0,17.15,87,50.67,False
CUST000056,43.0,Male,51,South,Credit Card,1,5.0,16.29,301,55.02,True
CUST000057,45.0,Male,54,South,PayPal,5,10.0,8.69,128,59.56,True
CUST000058,64.0,Female,21,North,Credit Card,2,10.0,8.87,206,52.03,False
CUST000059,24.0,Male,56,East,Debit Card,3,8.0,19.52,89,61.25,False
CUST000060,61.0,Male,20,West,Debit Card,0,6.0,18.31,82,49.52,False
CUST000061,25.0,Female,8,West,PayPal,1,6.0,9.78,212,51.45,False
CUST000062,64.0,Female,58,West,PayPal,3,5.0,17.36,119,54.39,False
CUST000063,52.0,Female,46,East,Debit Card,2,4.0,7.43,348,46.02,True
CUST000064,31.0,Male,31,North,Debit Card,1,6.0,7.95,136,56.12,False
CUST000065,34.0,Male,50,South,Debit Card,1,9.0,7.72,261,59.64,False
CUST000066,43.0,Female,57,North,PayPal,1,10.0,6.32,276,64.76,False
CUST000067,67.0,Male,29,North,Debit Card,1,5.0,17.82,208,48.53,False
CUST000068,43.0,Female,48,South,PayPal,1,10.0,13.68,314,64.71,True
CUST000069,21.0,Female,9,East,Debit Card,2,6.0,8.88,243,39.1,False
CUST000070,43.0,Male,15,West,Credit Card,2,7.0,17.73,345,47.64,True
CUST000071,23.0,Male,30,West,Credit Card,0,1.0,17.04,100,40.37,True
CUST000072,59.0,Female,26,North,Debit Card,1,9.0,6.51,115,52.84,False
